run_label,pair_seed,pair_role,pair_role_label,task_key,task_name,mem_distribution_family,checkpoint,checkpoint_name,hidden_tau_syn_ms,hidden_tau_mem_geom_mean_ms,final_test_acc,final_test_loss,subset_size,W_bits,M_bits,samples,lag,stride,optimiser,indices,error,data_kind
seeded_run_2,201,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_het_lognormal.pt,2class_seed201_het_lognormal.pt,10.0,23.203167761558632,0.8648409893992933,0.3600707873702049,8,4.10074056856074,1.025175105116217,128000,1,1,"Adam(distr,ridge=0.01)","0,4,8,13,17,22,26,31",,recurrent_spike_trains
seeded_run_2,201,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_het_lognormal.pt,2class_seed201_het_lognormal.pt,10.0,23.203167761558632,0.8648409893992933,0.3600707873702049,16,3.8435893572682547,1.5610198348386461,128000,1,1,"Adam(distr,ridge=0.05)","0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,31",,recurrent_spike_trains
seeded_run_2,201,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_het_lognormal.pt,2class_seed201_het_lognormal.pt,10.0,23.203167761558632,0.8648409893992933,0.3600707873702049,32,4.541024409936772,2.7456519555753935,128000,1,1,"Adam(distr,ridge=0.05)","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",,recurrent_spike_trains
seeded_run_2,201,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_hom_geommean_lognormal.pt,2class_seed201_hom_geommean_lognormal.pt,10.0,23.203167761558632,0.8449646643109541,0.40479156002402306,2,0.7167508111478833,-0.0010863264656740812,128000,1,1,Adam(data),"0,31",,recurrent_spike_trains
seeded_run_2,201,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_hom_geommean_lognormal.pt,2class_seed201_hom_geommean_lognormal.pt,10.0,23.203167761558632,0.8449646643109541,0.40479156002402306,4,0.8864225741267111,0.05949459740902685,128000,1,1,Adam(data),"0,10,20,31",,recurrent_spike_trains
seeded_run_2,201,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_hom_geommean_lognormal.pt,2class_seed201_hom_geommean_lognormal.pt,10.0,23.203167761558632,0.8449646643109541,0.40479156002402306,8,2.6182618129435884,0.10434566609825913,128000,1,1,"Adam(distr,ridge=0.05)","0,4,8,13,17,22,26,31",,recurrent_spike_trains
seeded_run_2,201,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_hom_geommean_lognormal.pt,2class_seed201_hom_geommean_lognormal.pt,10.0,23.203167761558632,0.8449646643109541,0.40479156002402306,16,3.09153261468571,1.2008180410166802,128000,1,1,"Adam(distr,ridge=0.05)","0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,31",,recurrent_spike_trains
seeded_run_2,201,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_hom_geommean_lognormal.pt,2class_seed201_hom_geommean_lognormal.pt,10.0,23.203167761558632,0.8449646643109541,0.40479156002402306,32,3.693367327253816,2.0269520209128076,128000,1,1,"Adam(distr,ridge=0.05)","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",,recurrent_spike_trains
seeded_run_1,202,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed202_het_lognormal.pt,2class_seed202_het_lognormal.pt,10.0,29.30836270998413,0.8454063604240283,0.420902494341135,2,0.657460093232569,0.029899982490909305,128000,1,1,Adam(data),"0,31",,recurrent_spike_trains
seeded_run_1,202,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed202_het_lognormal.pt,2class_seed202_het_lognormal.pt,10.0,29.30836270998413,0.8454063604240283,0.420902494341135,4,0.9046178226400436,0.027366766393017272,128000,1,1,Adam(data),"0,10,20,31",,recurrent_spike_trains
seeded_run_1,202,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed202_het_lognormal.pt,2class_seed202_het_lognormal.pt,10.0,29.30836270998413,0.8454063604240283,0.420902494341135,8,3.154935738752793,0.10518279176695433,128000,1,1,Adam(data),"0,4,8,13,17,22,26,31",,recurrent_spike_trains
seeded_run_1,202,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed202_het_lognormal.pt,2class_seed202_het_lognormal.pt,10.0,29.30836270998413,0.8454063604240283,0.420902494341135,16,3.2228902116923095,0.5352399555967127,128000,1,1,Adam(data),"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,31",,recurrent_spike_trains
seeded_run_1,202,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed202_het_lognormal.pt,2class_seed202_het_lognormal.pt,10.0,29.30836270998413,0.8454063604240283,0.420902494341135,32,6.346806471604883,1.7407633172551735,128000,1,1,"Adam(distr,ridge=0.05)","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",,recurrent_spike_trains
