pair_seed,subset_size,M_bits_heterogeneous_sampled,M_bits_homogeneous_anchor,W_bits_heterogeneous_sampled,W_bits_homogeneous_anchor,hetero_minus_hom_M_bits,hetero_minus_hom_W_bits
101,2,9.55329639326652e-06,-0.0028106018437386027,0.1610294090457424,2.8764008925826294,0.002820155140131869,-2.715371483536887
101,4,-0.0018001799624509651,0.0042905344512829124,3.2964499431887466,3.5366718702609004,-0.0060907144137338776,-0.24022192707215373
101,8,0.5032020151852583,1.154816439075955,3.6762970172597766,2.9747660257783113,-0.6516144238906967,0.7015309914814654
101,16,1.2145230162267535,1.2966094388392588,3.858539465142457,3.821850750199196,-0.08208642261250532,0.03668871494326087
101,32,2.474279661784215,2.415968454675509,4.676205525237353,3.1500287297583753,0.058311207108705965,1.5261767954789773
201,2,-0.0028776436712010245,-0.0010863264656740812,3.5655807780097315,0.7167508111478833,-0.0017913172055269433,2.848829966861848
201,4,0.11246275153059582,0.05949459740902685,4.075180850954811,0.8864225741267111,0.05296815412156897,3.1887582768281
201,8,1.025175105116217,0.10434566609825913,4.10074056856074,2.6182618129435884,0.9208294390179579,1.4824787556171515
201,16,1.5610198348386461,1.2008180410166802,3.8435893572682547,3.09153261468571,0.36020179382196593,0.7520567425825448
201,32,2.7456519555753935,2.0269520209128076,4.541024409936772,3.693367327253816,0.718699934662586,0.8476570826829559
202,2,0.029899982490909305,0.08517659492430035,0.657460093232569,0.42082787404054917,-0.05527661243339105,0.23663221919201988
202,4,0.027366766393017272,0.0826448676318301,0.9046178226400436,3.2449738159589994,-0.05527810123881283,-2.3403559933189557
202,8,0.10518279176695433,0.19422128313933884,3.154935738752793,0.9126472626522011,-0.08903849137238451,2.242288476100592
202,16,0.5352399555967127,0.8871641878489473,3.2228902116923095,2.765028367536892,-0.3519242322522347,0.4578618441554174
202,32,1.7407633172551735,1.8462518422240528,6.346806471604883,3.3842003071731757,-0.10548852496887928,2.9626061644317074
210,2,1.6364844050487104e-05,-1.2087839043328774e-06,0.11295815134211432,0.009609443953826772,1.757362795481998e-05,0.10334870738828754
210,4,0.01779390046042084,0.0028992647539976407,1.3557928093472642,0.08340563076917606,0.014894635706423201,1.272387178578088
210,8,0.12473892566665801,0.07222653621167702,1.2021106603801162,0.4143647660211248,0.05251238945498099,0.7877458943589913
210,16,0.7712283093404255,0.9292498533436984,3.959714794853237,2.4483821659355303,-0.15802154400327284,1.5113326289177067
210,32,1.8335830263194675,2.158332045504196,6.030085973498348,3.0279733303716436,-0.32474901918472865,3.0021126431267047
211,2,0.004412677598625736,3.647945973075939e-05,0.5636347000803875,0.2177546940048832,0.004376198138894977,0.3458800060755043
211,4,0.04022284552284827,0.02448420483158245,0.5890674084986542,0.2370838026375229,0.01573864069126582,0.3519836058611313
211,8,0.5803691298504701,0.6057889235982108,3.395401193258569,2.5303697352548484,-0.025419793747740727,0.8650314580037204
211,16,1.1300440934157843,1.2321434427102518,3.4979757738167683,3.136462738258317,-0.10209934929446751,0.36151303555845127
211,32,2.06921780392722,2.0451992657461453,3.814107403326749,3.594866671729254,0.02401853818107469,0.2192407315974947
221,2,0.015699980769600663,0.0002934449387810463,0.8940147482490498,0.025577152347160112,0.015406535830819617,0.8684375959018897
221,4,0.030941206064389326,0.10625578235912947,0.901467702415515,0.48603105452288775,-0.07531457629474014,0.41543664789262724
221,8,1.0835321346198055,0.9605151860272185,3.0038187110232637,3.5195300154841025,0.12301694859258694,-0.5157113044608388
221,16,1.45741873639534,1.5699842035093345,4.844126633817385,2.7257791748875855,-0.11256546711399462,2.1183474589298
221,32,2.3058842611939907,2.683809508002645,5.001904893580133,3.767581280754135,-0.37792524680865425,1.2343236128259982
231,2,-0.0027835223129168973,-0.0028251097515981094,3.0272785204621577,2.8596091944829882,4.158743868121206e-05,0.1676693259791695
231,4,0.06996801979842449,-0.0026821573979116664,3.1200648804291515,2.989170260718675,0.07265017719633615,0.13089461971047633
231,8,0.5364833261008508,0.5125469731309096,3.960701287338586,3.597914204302543,0.023936352969941233,0.3627870830360429
231,16,0.6447652070867314,1.1288829178876982,3.6461532740777507,3.378385917712806,-0.4841177108009669,0.26776735636494475
231,32,1.7990882041000633,1.9100618733685395,4.118701060755645,3.7923192652542412,-0.11097366926847618,0.32638179550140345
241,2,-0.000590111283091499,0.4853662706836199,0.28610982202741586,2.841956207267826,-0.4859563819667114,-2.55584638524041
241,4,0.48430915566246036,0.4699341187849235,3.1217176337039434,2.8949406223456404,0.014375036877536829,0.22677701135830297
241,8,0.8558291670859322,0.7751971893366587,3.482029542428769,3.0350590155871915,0.08063197774927344,0.44697052684157734
241,16,1.3556687020714877,0.9607854248547971,2.890354189012431,3.451667037314845,0.3948832772166906,-0.5613128483024141
241,32,2.2470212902510713,1.9795031986564995,4.2602056341631505,2.8782686241709996,0.26751809159457185,1.3819370099921509
340,2,-0.0027906841187070874,0.4853662706836199,3.167973399549401,2.841956207267826,-0.488156954802327,0.3260171922815749
340,4,0.4855210030247594,0.7623121767027299,3.4712648043459637,2.94223929098593,-0.27679117367797046,0.5290255133600339
340,8,0.8107704564538678,0.7718219205642778,3.005363803158615,3.200250415532729,0.03894853588959002,-0.19488661237411398
340,16,1.441933395874734,1.2653895569710922,3.7836128155369626,2.7786507693464335,0.17654383890364178,1.004962046190529
340,32,2.362879004183201,2.2351041982240147,5.741694457641936,3.202410517627566,0.1277748059591861,2.5392839400143696
440,2,-0.002787203208679756,-3.629286933173881e-05,3.0943293965540413,0.15527777175510613,-0.002750910339348017,2.9390516247989353
440,4,0.48056457228559024,0.012666561771211615,3.143099892720415,3.3181837347435814,0.4678980105143786,-0.17508384202316662
440,8,0.5226186822718275,0.5798213062060191,2.595218889450386,2.161116104546364,-0.05720262393419162,0.434102784904022
440,16,1.1121701538443802,1.1091272547816895,2.6070258423974195,2.7806347612067865,0.0030428990626907293,-0.17360891880936702
440,32,2.03819097704661,2.3038693156601857,3.8444919222199827,3.4893601309391453,-0.2656783386135757,0.3551317912808374
