run_label,pair_seed,pair_role,pair_role_label,task_key,task_name,mem_distribution_family,checkpoint,checkpoint_name,hidden_tau_syn_ms,hidden_tau_mem_geom_mean_ms,final_test_acc,final_test_loss,label,subset_size,sampled_subsets,sampled_pairs_mean,subset_pair_M_mean,subset_pair_M_std,subset_pair_W_mean,subset_pair_W_std,subset_pair_TDMI_mean,valid_pair_count,error_pair_count,delay_steps,delay_ms
seeded_run_2,201,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_het_lognormal.pt,2class_seed201_het_lognormal.pt,10.0,23.203167761558632,0.8648409893992933,0.3600707873702049,seeded_runs_discrete_observed_full,2,6,1.0,0.006823102560477847,0.015455054190154296,0.17180295079526986,0.20918509441794086,0.1786260533557477,1,0,4,16.0
seeded_run_2,201,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_het_lognormal.pt,2class_seed201_het_lognormal.pt,10.0,23.203167761558632,0.8648409893992933,0.3600707873702049,seeded_runs_discrete_observed_full,4,6,4.0,0.0024531517447451,0.0035418829395410466,0.1852703691466051,0.12263731680634958,0.18772352089135022,4,0,4,16.0
seeded_run_2,201,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_het_lognormal.pt,2class_seed201_het_lognormal.pt,10.0,23.203167761558632,0.8648409893992933,0.3600707873702049,seeded_runs_discrete_observed_full,8,6,4.0,0.004228506925358334,0.00849436655099294,0.1690249735914635,0.15830406911779143,0.1732534805168218,4,0,4,16.0
seeded_run_2,201,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_het_lognormal.pt,2class_seed201_het_lognormal.pt,10.0,23.203167761558632,0.8648409893992933,0.3600707873702049,seeded_runs_discrete_observed_full,16,6,4.0,0.007303004918439315,0.005693211032686083,0.20900406810171457,0.10333882116671511,0.21630707302015387,4,0,4,16.0
seeded_run_2,201,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_het_lognormal.pt,2class_seed201_het_lognormal.pt,10.0,23.203167761558632,0.8648409893992933,0.3600707873702049,seeded_runs_discrete_observed_full,32,1,4.0,0.004840476823458534,,0.06219807127022164,,0.06703854809368018,4,0,4,16.0
seeded_run_2,201,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_hom_geommean_lognormal.pt,2class_seed201_hom_geommean_lognormal.pt,10.0,23.203167761558632,0.8449646643109541,0.40479156002402306,seeded_runs_discrete_observed_full,2,6,1.0,0.002688550552248925,0.0035041447175417494,0.09579543406865532,0.11549608344398875,0.09848398462090424,1,0,4,16.0
seeded_run_2,201,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_hom_geommean_lognormal.pt,2class_seed201_hom_geommean_lognormal.pt,10.0,23.203167761558632,0.8449646643109541,0.40479156002402306,seeded_runs_discrete_observed_full,4,6,4.0,0.0016488872390526155,0.002468584155603515,0.08505565386778034,0.0684631212027923,0.08670454110683296,4,0,4,16.0
seeded_run_2,201,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_hom_geommean_lognormal.pt,2class_seed201_hom_geommean_lognormal.pt,10.0,23.203167761558632,0.8449646643109541,0.40479156002402306,seeded_runs_discrete_observed_full,8,6,4.0,0.002304120920987147,0.0022288649520101397,0.14981495748470453,0.026237112156962197,0.1521190784056917,4,0,4,16.0
seeded_run_2,201,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_hom_geommean_lognormal.pt,2class_seed201_hom_geommean_lognormal.pt,10.0,23.203167761558632,0.8449646643109541,0.40479156002402306,seeded_runs_discrete_observed_full,16,6,4.0,0.009839833894451097,0.009677126063627828,0.17702540349383708,0.10916707311067358,0.1868652373882882,4,0,4,16.0
seeded_run_2,201,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_2\2class_lognormal\2class_seed201_hom_geommean_lognormal.pt,2class_seed201_hom_geommean_lognormal.pt,10.0,23.203167761558632,0.8449646643109541,0.40479156002402306,seeded_runs_discrete_observed_full,32,1,4.0,0.001666091591605079,,0.04470745255960258,,0.04637354415120766,4,0,4,16.0
