network,tensor,subset_size,delay_steps,delay_ms,observed_W_bits,observed_M_bits,observed_TDMI_bits,observed_TDMI_counts_bits,null_M_mean,null_M_std,M_z_tdmi_null,M_p_upper_tdmi_null,M_p_lower_tdmi_null,M_p_two_sided_tdmi_null,n_null_valid,n_attempts,null_model_mi_mean,null_model_p_eps_mean,null_gate_modes
2class_fittedhet_lu,spk,2,4,16.0,0.39566394775634706,0.052602139686630967,0.448266087442978,0.4482660862851263,0.12748066152072407,0.04514989335043234,-1.6584429392317954,1.0,0.047619047619047616,0.09523809523809523,20,20,0.44712201497338305,0.18246262626262627,"or,xor"
2class_local_hom,spk,2,4,16.0,0.08637924908266575,0.0003296516722480769,0.08670890075491383,0.08670889865787271,0.02638418396064248,0.012009233359818608,-2.1695416774537506,1.0,0.047619047619047616,0.09523809523809523,20,20,0.08680816032152729,0.35686060606060604,"or,xor"
