network,subset_size,n_pairs,z_mean,z_median,z_max,z_min,positive_frac,n_positive_z
2class_fittedhet_lu,4,18,-1.992272229460043,-2.0871748934935157,-1.2912755735080377,-2.6716157113604413,0.0,0
2class_fittedhet_lu,8,84,-1.7103398287674234,-1.6700225463231249,0.5543744088829684,-3.8223409486239905,0.011904761904761904,1
2class_local_hom,4,18,-2.0204662300682132,-2.0225886409928977,-0.8273320470370792,-3.3674434931783193,0.0,0
2class_local_hom,8,84,-1.9645465884773001,-1.8915564783873435,-0.17227020896496276,-3.954789739370366,0.0,0
