network,pair_order,pair_i,pair_j,delay_steps,delay_ms,observed_W_bits,observed_M_bits,observed_TDMI_bits,observed_TDMI_counts_bits,M_z_tdmi_null,M_p_upper_tdmi_null,n_null_valid,n_attempts
4class_local_hom,1,10,18,4,16.0,0.2401609244936893,0.00435606183276982,0.24451698632645913,0.24451698525236892,-2.780752661528668,1.0,10,10
4class_local_hom,2,11,14,4,16.0,0.0045354926138502505,0.0,0.0045354926138502505,0.004535492440144621,-1.5312965310008473,1.0,10,10
4class_local_hom,3,11,27,4,16.0,0.01160660421045015,0.0,0.01160660421045015,0.011606604121692636,-1.5504237820528584,1.0,10,10
4class_fittedhet_lu,1,0,20,4,16.0,0.1152547415797649,0.0,0.1152547415797649,0.11525474157888088,-2.719534549500483,1.0,10,10
4class_fittedhet_lu,2,12,20,4,16.0,0.4466938524836044,0.0300363255617353,0.4767301780453397,0.4767301768756391,-1.8017437160092358,1.0,10,10
4class_fittedhet_lu,3,13,25,4,16.0,0.44271754663918017,0.02022070274821086,0.46293824938739103,0.4629382482234954,-2.564136863159732,1.0,10,10
