network,n_pairs,z_mean,z_median,z_max,z_min,n_positive_z,positive_frac
4class_fittedhet_lu,3,-2.361805042889817,-2.564136863159732,-1.8017437160092358,-2.719534549500483,0,0.0
4class_local_hom,3,-1.9541576581941245,-1.5504237820528584,-1.5312965310008473,-2.780752661528668,0,0.0
