network,subset_size,replicate,pair_i,pair_j,delay_steps,delay_ms,observed_W_bits,observed_M_bits,observed_TDMI_bits,observed_TDMI_counts_bits,z,p_upper,n_null_valid,n_attempts
2class_local_hom,4,1,7,12,4,16.0,0.10715704713018703,0.00024216755451011984,0.10739921468469715,0.10739921339477526,-2.098043527494382,1.0,10,10
2class_local_hom,4,1,7,24,4,16.0,0.29450512166387743,0.02837930515566489,0.3228844268195423,0.32288442564242126,-1.3777175419847287,0.9090909090909091,10,10
2class_local_hom,4,1,7,28,4,16.0,0.09886101862102448,0.0,0.09886101862102448,0.09886101861616603,-1.7827703167817843,1.0,10,10
2class_local_hom,4,1,12,24,4,16.0,0.2563441890857867,0.0007307852806281989,0.2570749743664149,0.25707497305463584,-2.932110466970393,1.0,10,10
2class_local_hom,4,1,12,28,4,16.0,0.00822566108490791,0.0,0.00822566108490791,0.008225661060327969,-1.0627677603302919,1.0,10,10
2class_local_hom,4,1,24,28,4,16.0,0.24846703758951172,0.0,0.24846703758951172,0.24846703758782251,-2.834639464025519,1.0,10,10
2class_local_hom,4,2,3,10,4,16.0,0.22180575294868388,0.0009753486735601946,0.22278110162224407,0.22278109987261127,-2.0223972189295902,1.0,10,10
2class_local_hom,4,2,3,19,4,16.0,0.10136066525754783,0.0015156390259335462,0.10287630428348138,0.10287630264396228,-2.821028817548037,1.0,10,10
2class_local_hom,4,2,3,30,4,16.0,0.5005252952427677,0.00917321806844118,0.5096985133112089,0.5096985120562352,-1.678534854231382,1.0,10,10
2class_local_hom,4,2,10,19,4,16.0,0.1678255945563636,0.0005141472758749543,0.16833974183223854,0.16833974024438486,-2.2753013368344437,1.0,10,10
2class_local_hom,4,2,10,30,4,16.0,0.4851366837876121,0.04207791794425564,0.5272146017318677,0.5272146005629346,-1.1550012014268938,0.8181818181818182,10,10
2class_local_hom,4,2,19,30,4,16.0,0.44586126249350166,0.001703732587657214,0.4475649950811589,0.4475649937127447,-1.8164133440992978,1.0,10,10
2class_local_hom,4,3,8,11,4,16.0,0.5513450679626266,0.010838357397009446,0.5621834253596361,0.5621834241574253,-1.4628317562984683,1.0,10,10
2class_local_hom,4,3,8,17,4,16.0,0.4391320198608981,-2.220446049250313e-16,0.4391320198608979,0.43913201985960704,-2.5864654203315762,1.0,10,10
2class_local_hom,4,3,8,31,4,16.0,0.4392938111502005,3.5263895528547806e-05,0.43932907504572905,0.4393290744078721,-2.244813510669445,1.0,10,10
2class_local_hom,4,3,11,17,4,16.0,0.1401758357497565,0.0,0.1401758357497565,0.14017583573357306,-2.022780063056205,1.0,10,10
2class_local_hom,4,3,11,31,4,16.0,0.14035096346299353,-8.39393563351054e-06,0.14034256952736002,0.1403425687172911,-3.3674434931783193,1.0,10,10
2class_local_hom,4,3,17,31,4,16.0,0.00010063531454948885,0.0,0.00010063531454948885,0.0001006349966841221,-0.8273320470370792,1.0,10,10
2class_local_hom,8,1,8,11,4,16.0,0.5513450679626266,0.010838357397009446,0.5621834253596361,0.5621834241574253,-1.1177644671538354,1.0,10,10
2class_local_hom,8,1,8,12,4,16.0,0.4473605957058484,0.0005964892389553889,0.4479570849448038,0.44795708364814313,-3.1039441798030856,1.0,10,10
2class_local_hom,8,1,8,18,4,16.0,0.46278143741625777,0.004755096419212901,0.46753653383547067,0.46753653292508135,-2.4678365793903487,1.0,10,10
2class_local_hom,8,1,8,19,4,16.0,0.46048002762675244,0.0015273851131003546,0.4620074127398528,0.46200741050918415,-1.5964417938500977,1.0,10,10
2class_local_hom,8,1,8,21,4,16.0,0.439209401146768,4.95405117151293e-06,0.4392143551979395,0.439214353519125,-1.8498615868629658,1.0,10,10
2class_local_hom,8,1,8,23,4,16.0,0.45525907564047396,-1.2938225704584028e-05,0.4552461374147694,0.4552461370235481,-1.9324622808445073,1.0,10,10
2class_local_hom,8,1,8,26,4,16.0,0.5440368913322349,0.02327026864437931,0.5673071599766142,0.567307158811492,-1.3579466541399359,1.0,10,11
2class_local_hom,8,1,11,12,4,16.0,0.14835906837137003,0.000319690243980042,0.14867875861535007,0.1486787577001267,-2.1535995613508563,1.0,10,10
2class_local_hom,8,1,11,18,4,16.0,0.14261232047729433,0.004660450880518141,0.14727277135781247,0.147272770089551,-1.7375752413636267,1.0,10,10
