delay_target_ms,delay_steps,delay_actual_ms,n_pairs,z_mean,z_median,z_max,z_min,n_positive_z,positive_frac
5.0,1,4.0,5,-1.424166929526952,-1.6127002078560237,0.0024810720879572547,-2.118316657245553,1,0.2
15.0,4,16.0,5,-1.3242040320568909,-1.5695677840099862,0.06655891407054768,-1.8062097813300784,1,0.2
30.0,8,32.0,5,-1.4385663660894596,-1.433443513053406,0.02401083872345202,-2.7395032146286415,1,0.2
60.0,15,60.0,5,-1.4635588363013556,-1.3658510876051009,-0.3767854279580123,-2.819472859224664,0,0.0
