pair_role,pair_role_label,subset_size,subset_pair_M_mean_mean,subset_pair_M_mean_std,subset_pair_W_mean_mean,subset_pair_W_mean_std,subset_pair_TDMI_mean_mean,final_test_acc_mean,n_models
heterogeneous_sampled,Heterogeneous sampled,2,0.0011334425192346398,,0.18325870656456092,,0.18439214908379556,0.8242049469964664,1
heterogeneous_sampled,Heterogeneous sampled,4,0.00014318702063114636,,0.0696642966122896,,0.06980748363292075,0.8242049469964664,1
heterogeneous_sampled,Heterogeneous sampled,8,0.007613467854338587,,0.2846196896609305,,0.29223315751526907,0.8242049469964664,1
heterogeneous_sampled,Heterogeneous sampled,16,0.021983306652454914,,0.16813671913099779,,0.1901200257834527,0.8242049469964664,1
heterogeneous_sampled,Heterogeneous sampled,32,0.03582327294312912,,0.21826221299580872,,0.25408548593893787,0.8242049469964664,1
homogeneous_anchor,Homogeneous anchor,2,0.0012539446139980075,,0.17590371495674498,,0.177157659570743,0.8268551236749117,1
homogeneous_anchor,Homogeneous anchor,4,2.1817072381456902e-05,,0.021814799846204422,,0.021836616918585877,0.8268551236749117,1
homogeneous_anchor,Homogeneous anchor,8,0.000991499952076194,,0.011422290784389397,,0.01241379073646559,0.8268551236749117,1
homogeneous_anchor,Homogeneous anchor,16,0.011478158162349046,,0.11477274617645043,,0.12625090433879946,0.8268551236749117,1
homogeneous_anchor,Homogeneous anchor,32,-6.467903598631845e-07,,0.1118106731739299,,0.11181002638357003,0.8268551236749117,1
