pair_role,pair_role_label,subset_size,M_bits_mean,M_bits_std,W_bits_mean,W_bits_std,final_test_acc_mean,n_models
heterogeneous_sampled,Heterogeneous sampled,2,-3.20141066640911e-05,,0.15132733026478742,,0.8242049469964664,1
heterogeneous_sampled,Heterogeneous sampled,4,-0.0012927320603037806,,3.28932263817169,,0.8242049469964664,1
heterogeneous_sampled,Heterogeneous sampled,8,0.5026648379113832,,3.6812363589925567,,0.8242049469964664,1
heterogeneous_sampled,Heterogeneous sampled,16,1.219126071712668,,3.8575626036855564,,0.8242049469964664,1
heterogeneous_sampled,Heterogeneous sampled,32,2.4434409315446777,,4.6567288339924415,,0.8242049469964664,1
homogeneous_anchor,Homogeneous anchor,2,-0.00281353921647165,,2.8689072645192355,,0.8268551236749117,1
homogeneous_anchor,Homogeneous anchor,4,-0.003636062630299808,,3.5224000619617013,,0.8268551236749117,1
homogeneous_anchor,Homogeneous anchor,8,1.150607058593427,,2.96592749338517,,0.8268551236749117,1
homogeneous_anchor,Homogeneous anchor,16,1.2789999646983543,,3.7558094122678773,,0.8268551236749117,1
homogeneous_anchor,Homogeneous anchor,32,2.3990461116117876,,3.0552704167165885,,0.8268551236749117,1
